#Channel A = UTC_IT
#Channel B = 1PPS OUT HROG
#Channel measurement setting = B-A
#TIC reference frequency = 10 MHz UTC(IT)
#MJD 53230A_meas
60374.00001143354 +1.83843130686313E-007
60374.00002300677 +1.83818716623813E-007
60374.000034580284 +1.83833365061313E-007
60374.00004615348 +1.83818716623813E-007
60374.00005772669 +1.83828482248813E-007
60374.00006930021 +1.83828482248813E-007
60374.000080873426 +1.83843130686313E-007
60374.00009244664 +1.83828482248813E-007
60374.000104019855 +1.83818716623813E-007
60374.00011559305 +1.83843130686313E-007
60374.00012716626 +1.83843130686313E-007
60374.000138739495 +1.83833365061313E-007
60374.00015031271 +1.83843130686313E-007
60374.000161885924 +1.83828482248813E-007
60374.00017345914 +1.83818716623813E-007
60374.00018503236 +1.83818716623813E-007
60374.00019660558 +1.83818716623813E-007
60374.0002081788 +1.83828482248813E-007
60374.00021975201 +1.83843130686313E-007
60374.000231325226 +1.83828482248813E-007
60374.000242898444 +1.83828482248813E-007
60374.000254471655 +1.83843130686313E-007
60374.00026604486 +1.83818716623813E-007
60374.00027761806 +1.83828482248813E-007
60374.0002891913 +1.83808950998813E-007
60374.00030076453 +1.83828482248813E-007
60374.00031233773 +1.83818716623813E-007
60374.00032391095 +1.83843130686313E-007
60374.00033548416 +1.83828482248813E-007
60374.00034706159 +1.83828482248813E-007
60374.000358639016 +1.83843130686313E-007
60374.000370212234 +1.83828482248813E-007
60374.000381785445 +1.83828482248813E-007
60374.00039335867 +1.83818716623813E-007
60374.00040493188 +1.83833365061313E-007
60374.0004165051 +1.83833365061313E-007
60374.00042807832 +1.83818716623813E-007
60374.00043965153 +1.83843130686313E-007
60374.00045122473 +1.83818716623813E-007
60374.00046279795 +1.83818716623813E-007
60374.000474375556 +1.83828482248813E-007
60374.00048595316 +1.83828482248813E-007
60374.00049752637 +1.83828482248813E-007
60374.00050909959 +1.83828482248813E-007
60374.00052067281 +1.83828482248813E-007
60374.00053224602 +1.83833365061313E-007
60374.00054381923 +1.83857779123813E-007
60374.00055539244 +1.83843130686313E-007
60374.00056696565 +1.83818716623813E-007
60374.00057853888 +1.83828482248813E-007
60374.00059011209 +1.83818716623813E-007
60374.000601685315 +1.83818716623813E-007
60374.000613258526 +1.83818716623813E-007
60374.000624836146 +1.83818716623813E-007
60374.00063641375 +1.83808950998813E-007
60374.00064798697 +1.83808950998813E-007
60374.00065956019 +1.83818716623813E-007
60374.00067113341 +1.83828482248813E-007
60374.000682706625 +1.83828482248813E-007
60374.00069427984 +1.83818716623813E-007
60374.00070585305 +1.83843130686313E-007
60374.00071743052 +1.83857779123813E-007
60374.00072900801 +1.83828482248813E-007
60374.00074058121 +1.83843130686313E-007
60374.000752154425 +1.83828482248813E-007
60374.00076372764 +1.83828482248813E-007
60374.000775300854 +1.83828482248813E-007
60374.00078687407 +1.83808950998813E-007
60374.00079844729 +1.83843130686313E-007
60374.0008100205 +1.83818716623813E-007
60374.00082159342 +1.83794302561313E-007
60374.00083316664 +1.83833365061313E-007
60374.00084474015 +1.83818716623813E-007
60374.00085631337 +1.83857779123813E-007
60374.000867886585 +1.83828482248813E-007
60374.000879459796 +1.83828482248813E-007
60374.000891123134 +1.83818716623813E-007
60374.00090260623 +1.83843130686313E-007
60374.00091417944 +1.83828482248813E-007
60374.000925752654 +1.83843130686313E-007
60374.00093732587 +1.83794302561313E-007
60374.00094889909 +1.83828482248813E-007
60374.0009604723 +1.83818716623813E-007
60374.00097204946 +1.83828482248813E-007
60374.000983626625 +1.83828482248813E-007
60374.000995199836 +1.83828482248813E-007
60374.00100677305 +1.83833365061313E-007
60374.00101834598 +1.83828482248813E-007
60374.00102991919 +1.83808950998813E-007
60374.001041492695 +1.83818716623813E-007
60374.001053065906 +1.83818716623813E-007
60374.001064639124 +1.83843130686313E-007
60374.00107621234 +1.83843130686313E-007
60374.001087785546 +1.83843130686313E-007
60374.001099358764 +1.83818716623813E-007
60374.00111093199 +1.83843130686313E-007
60374.00112250521 +1.83828482248813E-007
60374.00113407842 +1.83808950998813E-007
60374.00114565163 +1.83828482248813E-007
60374.00115722484 +1.83843130686313E-007
60374.00116879806 +1.83833365061313E-007
60374.00118037128 +1.83818716623813E-007
60374.001191944495 +1.83808950998813E-007
60374.001203517706 +1.83833365061313E-007
60374.001215090924 +1.83818716623813E-007
60374.00122666416 +1.83818716623813E-007
60374.00123823737 +1.83818716623813E-007
60374.00124990069 +1.83808950998813E-007
60374.00126147391 +1.83833365061313E-007
60374.001272957 +1.83828482248813E-007
60374.00128453021 +1.83828482248813E-007
60374.00129610715 +1.83818716623813E-007
60374.00130768411 +1.83818716623813E-007
60374.00131925734 +1.83828482248813E-007
60374.001330830535 +1.83818716623813E-007
60374.00134240376 +1.83818716623813E-007
60374.00135397697 +1.83857779123813E-007
60374.00136555018 +1.83833365061313E-007
60374.00137712341 +1.83828482248813E-007
60374.001388696626 +1.83833365061313E-007
60374.001400269844 +1.83843130686313E-007
60374.001411843055 +1.83828482248813E-007
60374.001423416266 +1.83804068186313E-007
60374.00143498948 +1.83828482248813E-007
60374.001446562695 +1.83828482248813E-007
60374.001458135914 +1.83833365061313E-007
60374.001469709125 +1.83833365061313E-007
60374.00148128234 +1.83804068186313E-007
60374.00149285556 +1.83833365061313E-007
60374.00150442879 +1.83818716623813E-007
60374.00151600199 +1.83828482248813E-007
60374.00152757521 +1.83828482248813E-007
60374.00153914842 +1.83843130686313E-007
60374.00155072163 +1.83818716623813E-007
60374.00156229484 +1.83828482248813E-007
60374.00157386805 +1.83828482248813E-007
60374.00158544128 +1.83818716623813E-007
60374.001597014496 +1.83833365061313E-007
60374.001608587714 +1.83857779123813E-007
60374.00162016093 +1.83843130686313E-007
60374.00163173415 +1.83818716623813E-007
60374.00164330736 +1.83818716623813E-007
60374.00165488057 +1.83818716623813E-007
60374.0016664538 +1.83828482248813E-007
60374.001678027 +1.83818716623813E-007
60374.00168960022 +1.83818716623813E-007
60374.00170117343 +1.83794302561313E-007
60374.00171274665 +1.83843130686313E-007
60374.00172431986 +1.83828482248813E-007
60374.00173589746 +1.83818716623813E-007
60374.001747475064 +1.83828482248813E-007
60374.00175904828 +1.83828482248813E-007
60374.0017706215 +1.83833365061313E-007
60374.00178219471 +1.83843130686313E-007
60374.00179376792 +1.83828482248813E-007
60374.00180534114 +1.83828482248813E-007
60374.001816914344 +1.83833365061313E-007
60374.001828487555 +1.83828482248813E-007
60374.00184006079 +1.83828482248813E-007
60374.00185163402 +1.83828482248813E-007
60374.00186320723 +1.83818716623813E-007
60374.0018748706 +1.83808950998813E-007
60374.00188644382 +1.83818716623813E-007
60374.00189801704 +1.83833365061313E-007
60374.00190959025 +1.83828482248813E-007
60374.00192107329 +1.83828482248813E-007
60374.00193264651 +1.83818716623813E-007
60374.001944219744 +1.83833365061313E-007
60374.00195579265 +1.83843130686313E-007
60374.00196736584 +1.83818716623813E-007
60374.001978939355 +1.83818716623813E-007
60374.00199051259 +1.83818716623813E-007
60374.00200208581 +1.83828482248813E-007
60374.002013659025 +1.83808950998813E-007
60374.002025232236 +1.83857779123813E-007
60374.002036805454 +1.83828482248813E-007
60374.002048378665 +1.83818716623813E-007
60374.002059951876 +1.83843130686313E-007
60374.00207152509 +1.83818716623813E-007
60374.002083098305 +1.83818716623813E-007
60374.002094671516 +1.83833365061313E-007
60374.00210624475 +1.83828482248813E-007
60374.00211781796 +1.83833365061313E-007
60374.00212939117 +1.83833365061313E-007
60374.002140964396 +1.83818716623813E-007
60374.00215253761 +1.83818716623813E-007
60374.00216411083 +1.83843130686313E-007
60374.00217568404 +1.83818716623813E-007
60374.00218725727 +1.83833365061313E-007
60374.00219883048 +1.83843130686313E-007
60374.00221049388 +1.83843130686313E-007
60374.0022220671 +1.83804068186313E-007
60374.00223364031 +1.83818716623813E-007
60374.00224521353 +1.83818716623813E-007
60374.002256786756 +1.83843130686313E-007
60374.00226835997 +1.83828482248813E-007
60374.002279842985 +1.83828482248813E-007
60374.0022914162 +1.83818716623813E-007
60374.00230298941 +1.83818716623813E-007
60374.00231456262 +1.83818716623813E-007
60374.002326135844 +1.83818716623813E-007
60374.002337709055 +1.83828482248813E-007
60374.002349282266 +1.83857779123813E-007
60374.00236085548 +1.83818716623813E-007
60374.00237242872 +1.83843130686313E-007
60374.00238400194 +1.83843130686313E-007
60374.002395575124 +1.83828482248813E-007
60374.00240714835 +1.83828482248813E-007
60374.00241872156 +1.83843130686313E-007
60374.00243029477 +1.83828482248813E-007
60374.002441868 +1.83818716623813E-007
60374.00245353133 +1.83843130686313E-007
60374.00246510454 +1.83833365061313E-007
60374.00247667775 +1.83843130686313E-007
60374.002488250975 +1.83818716623813E-007
60374.00249982424 +1.83818716623813E-007
60374.002511397455 +1.83833365061313E-007
60374.0025228805 +1.83804068186313E-007
60374.002534543906 +1.83828482248813E-007
60374.002546026924 +1.83818716623813E-007
60374.00255760015 +1.83818716623813E-007
60374.00256917336 +1.83833365061313E-007
60374.00258074657 +1.83818716623813E-007
60374.00259231979 +1.83818716623813E-007
60374.00260389301 +1.83833365061313E-007
60374.00261546623 +1.83818716623813E-007
60374.00262703944 +1.83828482248813E-007
60374.00263861265 +1.83818716623813E-007
60374.00265018586 +1.83843130686313E-007
