#Channel A = UTC_IT
#Channel B = 1PPS OUT HROG
#Channel measurement setting = B-A
#TIC reference frequency = 10 MHz UTC(IT)
#MJD 53230A_meas
60376.000011620636 +1.84233755686313E-007
60376.00002319385 +1.84223990061313E-007
60376.00003476706 +1.84209341623813E-007
60376.00004634027 +1.84219107248813E-007
60376.00005791348 +1.84219107248813E-007
60376.000069486705 +1.84233755686313E-007
60376.000081059916 +1.84233755686313E-007
60376.00009263313 +1.84248404123813E-007
60376.00010420635 +1.84248404123813E-007
60376.00011577956 +1.84233755686313E-007
60376.00012735278 +1.84219107248813E-007
60376.000138926 +1.84248404123813E-007
60376.00015058932 +1.84219107248813E-007
60376.00016216254 +1.84219107248813E-007
60376.00017364565 +1.84233755686313E-007
60376.00018521886 +1.84243521311313E-007
60376.00019679207 +1.84233755686313E-007
60376.00020836529 +1.84233755686313E-007
60376.00021993824 +1.84263052561313E-007
60376.000231511454 +1.84233755686313E-007
60376.00024308493 +1.84233755686313E-007
60376.00025465815 +1.84233755686313E-007
60376.00026623137 +1.84219107248813E-007
60376.00027780459 +1.84243521311313E-007
60376.0002893778 +1.84248404123813E-007
60376.00030095102 +1.84243521311313E-007
60376.00031252423 +1.84248404123813E-007
60376.00032409745 +1.84219107248813E-007
60376.00033567048 +1.84219107248813E-007
60376.00034724368 +1.84233755686313E-007
60376.000358817095 +1.84233755686313E-007
60376.000370480426 +1.84219107248813E-007
60376.000382053644 +1.84233755686313E-007
60376.00039353674 +1.84209341623813E-007
60376.00040510995 +1.84219107248813E-007
60376.00041668318 +1.84223990061313E-007
60376.00042825639 +1.84219107248813E-007
60376.0004398296 +1.84219107248813E-007
60376.00045140282 +1.84248404123813E-007
60376.00046297604 +1.84233755686313E-007
60376.00047454925 +1.84248404123813E-007
60376.00048612246 +1.84233755686313E-007
60376.00049769568 +1.84223990061313E-007
60376.000509268895 +1.84248404123813E-007
60376.000520842106 +1.84233755686313E-007
60376.00053241533 +1.84233755686313E-007
60376.00054398854 +1.84233755686313E-007
60376.00055556175 +1.84233755686313E-007
60376.00056713497 +1.84243521311313E-007
60376.00057870819 +1.84233755686313E-007
60376.00059028141 +1.84223990061313E-007
60376.00060185463 +1.84233755686313E-007
60376.00061342784 +1.84243521311313E-007
60376.000625001056 +1.84219107248813E-007
60376.00063657427 +1.84233755686313E-007
60376.000648147485 +1.84233755686313E-007
60376.000659720696 +1.84248404123813E-007
60376.000671298185 +1.84233755686313E-007
60376.00068287567 +1.84233755686313E-007
60376.00069444888 +1.84248404123813E-007
60376.00070602209 +1.84233755686313E-007
60376.00071759531 +1.84219107248813E-007
60376.000729168525 +1.84243521311313E-007
60376.00074074176 +1.84248404123813E-007
60376.00075231497 +1.84248404123813E-007
60376.00076388818 +1.84219107248813E-007
60376.00077546139 +1.84233755686313E-007
60376.0007870346 +1.84243521311313E-007
60376.00079860782 +1.84233755686313E-007
60376.00081018103 +1.84219107248813E-007
60376.00082175425 +1.84223990061313E-007
